term_id,japanese,english,german,french,spanish,portuguese,italian,czech,polish,turkish,vietnamese,thai,indonesian,korean,chinese_simplified,chinese_traditional,mexican_spanish,domain,locked
TERM_006,バルブ,valve,Ventil,soupape,válvula,válvula,valvola,ventil,zawór,valf,van,วาล์ว,SEM_006,밸브,阀,閥,válvula,pneumatics,true
TERM_007,ソレノイドバルブ,solenoid valve,Magnetventil,électrovanne,electroválvula,válvula solenóide,elettrovalvola,solenoidový ventil,zawór elektromagnetyczny,selenoid valf,van điện từ,โซลินอยด์วาล์ว,SEM_007,솔레노이드 밸브,电磁阀,電磁閥,electroválvula,pneumatics,true
TERM_008,ピストン,piston,Kolben,piston,pistón,pistão,pistone,píst,tłok,piston,pít tông,ลูกสูบ,SEM_008,피스톤,活塞,活塞,pistón,pneumatics,true
TERM_009,ピストンロッド,piston rod,Kolbenstange,tige de piston,vástago,haste do pistão,stelo del pistone,pístnice,tłoczysko,piston kolu,cần pít tông,ก้านลูกสูบ,SEM_009,피스톤 로드,活塞杆,活塞桿,vástago,pneumatics,true
TERM_010,シール,seal,Dichtung,joint d'étanchéité,sello,vedação,guarnizione,těsnění,uszczelnienie,conta,gioăng,ซีล,SEM_010,실,密封件,密封件,sello,pneumatics,true
TERM_011,ベアリング,bearing,Lager,roulement,cojinete,rolamento,cuscinetto,ložisko,łożysko,yatak,ổ trục,แบริ่ง,SEM_011,베어링,轴承,軸承,cojinete,pneumatics,true
TERM_012,ブッシング,bushing,Buchse,douille,casquillo,bucha,boccola,pouzdro,tuleja,burç,ống lót,บูชชิ่ง,SEM_012,부싱,衬套,襯套,casquillo,pneumatics,true
TERM_013,ポート,port,Anschluss,orifice,puerto,porta,porta,přípojka,port,port,cổng,ช่อง,SEM_013,포트,接口,接口,puerto,pneumatics,true
TERM_014,配管,piping,Rohrleitung,tuyauterie,tubería,tubulação,tubazione,potrubí,rurociąg,boru hattı,đường ống,ท่อ,SEM_014,배관,管道,管道,tubería,pneumatics,true
TERM_015,継手,fitting,Verschraubung,raccord,racor,conexão,raccordo,šroubení,złączka,ek parça,khớp nối,ข้อต่อ,SEM_015,이음쇠,接头,接頭,racor,pneumatics,true
TERM_016,エアフィルタ,air filter,Luftfilter,filtre à air,filtro de aire,filtro de ar,filtro dell'aria,vzduchový filtr,filtr powietrza,hava filtresi,lọc khí,ฟิลเตอร์อากาศ,SEM_016,에어 필터,空气过滤器,空氣過濾器,filtro de aire,pneumatics,true
TERM_017,レギュレータ,regulator,Druckregler,régulateur de pression,regulador,regulador,regolatore,regulátor,regulator,regülatör,bộ điều chỉnh,เรกูเลเตอร์,SEM_017,레귤레이터,调压阀,調壓閥,regulador,pneumatics,true
TERM_018,ルブリケータ,lubricator,Öler,lubrificateur,lubricador,lubrificador,lubrificatore,maznice,smarownica,yağlayıcı,bộ tra dầu,หล่อลื่น,SEM_018,루브리케이터,油雾器,油霧器,lubricador,pneumatics,true
TERM_019,スピードコントローラ,speed controller,Drosselrückschlagventil,régulateur de vitesse,controlador de velocidad,controlador de velocidade,regolatore di velocità,regulátor rychlosti,regulator prędkości,hız kontrol cihazı,bộ điều khiển tốc độ,ตัวควบคุมความเร็ว,SEM_019,스피드 컨트롤러,速度控制器,速度控制器,controlador de velocidad,pneumatics,true
TERM_020,サイレンサ,silencer,Schalldämpfer,silencieux,silenciador,silenciador,silenziatore,tlumič hluku,tłumik,susturucu,bộ giảm âm,ไซเลนเซอร์,SEM_020,소음기,消音器,消音器,silenciador,pneumatics,true
TERM_021,マニホールド,manifold,Verteilerblock,collecteur,colector,coletor,collettore,rozvaděč,rozdzielacz,manifold,ống góp,แมนิโฟลด์,SEM_021,매니폴드,歧管,歧管,colector,pneumatics,true
TERM_022,センサ,sensor,Sensor,capteur,sensor,sensor,sensore,senzor,czujnik,sensör,cảm biến,เซ็นเซอร์,SEM_022,센서,传感器,傳感器,sensor,sensors,true
TERM_023,磁気センサ,magnetic sensor,Magnetsensor,capteur magnétique,sensor magnético,sensor magnético,sensore magnetico,magnetický senzor,czujnik magnetyczny,manyetik sensör,cảm biến từ,เซ็นเซอร์แม่เหล็ก,SEM_023,자기 센서,磁性传感器,磁性傳感器,sensor magnético,sensors,true
TERM_024,近接センサ,proximity sensor,Näherungsschalter,capteur de proximité,sensor de proximidad,sensor de proximidade,sensore di prossimità,proximální senzor,czujnik zbliżeniowy,yakınlık sensörü,cảm biến tiệm cận,เซ็นเซอร์ความใกล้,SEM_024,근접 센서,接近传感器,接近傳感器,sensor de proximidad,sensors,true
TERM_025,圧力センサ,pressure sensor,Drucksensor,capteur de pression,sensor de presión,sensor de pressão,sensore di pressione,tlakový senzor,czujnik ciśnienia,basınç sensörü,cảm biến áp suất,เซ็นเซอร์ความดัน,SEM_025,압력 센서,压力传感器,壓力傳感器,sensor de presión,sensors,true
TERM_026,アクチュエータ,actuator,Antrieb,actionneur,actuador,atuador,attuatore,aktuátor,siłownik,aktüatör,bộ chấp hành,แอคชูเอเตอร์,SEM_026,액추에이터,执行器,執行器,actuador,actuators,true
TERM_027,ロータリアクチュエータ,rotary actuator,Schwenkantrieb,actionneur rotatif,actuador rotativo,atuador rotativo,attuatore rotativo,rotační aktuátor,siłownik obrotowy,döner aktüatör,bộ chấp hành quay,แอคชูเอเตอร์หมุน,SEM_027,로터리 액추에이터,旋转执行器,旋轉執行器,actuador rotativo,actuators,true
TERM_028,グリッパ,gripper,Greifer,préhenseur,pinza,garra,pinza,uchopovač,chwyt,tutucu,kẹp,กริปเปอร์,SEM_028,그리퍼,夹爪,夾爪,pinza,actuators,true
TERM_029,チャック,chuck,Spannfutter,mandrin,mandril,mandril,mandrino,sklíčidlo,uchwyt,ayna,mâm cặp,หัวจับ,SEM_029,척,卡盘,卡盤,mandril,actuators,true
TERM_030,最大使用圧力,maximum operating pressure,maximaler Betriebsdruck,pression maximale de service,presión máxima de trabajo,pressão máxima de operação,pressione massima di esercizio,maximální provozní tlak,maksymalne ciśnienie robocze,maksimum çalışma basıncı,áp suất hoạt động tối đa,ความดันการทำงานสูงสุด,SEM_030,최대 사용 압력,最大工作压力,最大工作壓力,presión máxima de trabajo,specifications,true
TERM_031,最小使用圧力,minimum operating pressure,minimaler Betriebsdruck,pression minimale de service,presión mínima de trabajo,pressão mínima de operação,pressione minima di esercizio,minimální provozní tlak,minimalne ciśnienie robocze,minimum çalışma basıncı,áp suất hoạt động tối thiểu,ความดันการทำงานต่ำสุด,SEM_031,최소 사용 압력,最小工作压力,最小工作壓力,presión mínima de trabajo,specifications,true
TERM_032,使用流体,operating fluid,Betriebsmedium,fluide de service,fluido de trabajo,fluido de operação,fluido di esercizio,pracovní médium,medium robocze,çalışma sıvısı,chất lỏng vận hành,ของไหลที่ใช้งาน,SEM_032,사용 유체,工作介质,工作介質,fluido de trabajo,specifications,true
TERM_033,周囲温度,ambient temperature,Umgebungstemperatur,température ambiante,temperatura ambiente,temperatura ambiente,temperatura ambiente,okolní teplota,temperatura otoczenia,ortam sıcaklığı,nhiệt độ môi trường,อุณหภูมิโดยรอบ,SEM_033,주위 온도,环境温度,環境溫度,temperatura ambiente,specifications,true
TERM_034,動作温度,operating temperature,Betriebstemperatur,température de service,temperatura de trabajo,temperatura de operação,temperatura di esercizio,provozní teplota,temperatura robocza,çalışma sıcaklığı,nhiệt độ hoạt động,อุณหภูมิการทำงาน,SEM_034,동작 온도,工作温度,工作溫度,temperatura de trabajo,specifications,true
TERM_035,重量,weight,Gewicht,poids,peso,peso,peso,hmotnost,waga,ağırlık,trọng lượng,น้ำหนัก,SEM_035,중량,重量,重量,peso,specifications,true
TERM_036,寸法,dimensions,Abmessungen,dimensions,dimensiones,dimensões,dimensioni,rozměry,wymiary,boyutlar,kích thước,ขนาด,SEM_036,치수,尺寸,尺寸,dimensiones,specifications,true
TERM_037,材質,material,Material,matériau,material,material,materiale,materiál,materiał,malzeme,vật liệu,วัสดุ,SEM_037,재질,材质,材質,material,materials,true
TERM_038,ステンレス鋼,stainless steel,Edelstahl,acier inoxydable,acero inoxidable,aço inoxidável,acciaio inossidabile,nerezová ocel,stal nierdzewna,paslanmaz çelik,thép không gỉ,สแตนเลส,SEM_038,스테인리스강,不锈钢,不鏽鋼,acero inoxidable,materials,true
TERM_039,アルミニウム,aluminum,Aluminium,aluminium,aluminio,alumínio,alluminio,hliník,aluminium,alüminyum,nhôm,อลูมิเนียม,SEM_039,알루미늄,铝,鋁,aluminio,materials,true
TERM_040,樹脂,resin,Kunstharz,résine,resina,resina,resina,pryskyřice,żywica,reçine,nhựa,เรซิน,SEM_040,수지,树脂,樹脂,resina,materials,true
TERM_041,ゴム,rubber,Gummi,caoutchouc,goma,borracha,gomma,guma,guma,kauçuk,cao su,ยาง,SEM_041,고무,橡胶,橡膠,goma,materials,true
TERM_042,耐久性,durability,Haltbarkeit,durabilité,durabilidad,durabilidade,durata,trvanlivost,trwałość,dayanıklılık,độ bền,ความทนทาน,SEM_042,내구성,耐久性,耐久性,durabilidad,features,true
TERM_043,防塵,dust-proof,staubdicht,étanche à la poussière,a prueba de polvo,à prova de poeira,antipolvere,protiprašný,pyłoszczelny,toza karşı korumalı,chống bụi,กันฝุ่น,SEM_043,방진,防尘,防塵,a prueba de polvo,features,true
TERM_044,防水,waterproof,wasserdicht,étanche,impermeable,à prova d'água,impermeabile,vodotěsný,wodoszczelny,su geçirmez,chống nước,กันน้ำ,SEM_044,방수,防水,防水,impermeable,features,true
TERM_045,耐熱性,heat resistance,Hitzebeständigkeit,résistance à la chaleur,resistencia al calor,resistência ao calor,resistenza al calore,tepelná odolnost,odporność na ciepło,ısıya dayanıklılık,chịu nhiệt,ทนความร้อน,SEM_045,내열성,耐热性,耐熱性,resistencia al calor,features,true
TERM_046,耐薬品性,chemical resistance,Chemikalienbeständigkeit,résistance chimique,resistencia química,resistência química,resistenza chimica,chemická odolnost,odporność chemiczna,kimyasal direnç,chống hóa chất,ทนสารเคมี,SEM_046,내약품성,耐化学性,耐化學性,resistencia química,features,true
TERM_047,警告,WARNING,WARNUNG,AVERTISSEMENT,ADVERTENCIA,AVISO,AVVERTENZA,VAROVÁNÍ,OSTRZEŻENIE,UYARI,CẢNH BÁO,คำเตือน,SEM_047,경고,警告,警告,ADVERTENCIA,safety,true
TERM_048,注意,CAUTION,VORSICHT,ATTENTION,PRECAUCIÓN,CUIDADO,ATTENZIONE,POZOR,UWAGA,DİKKAT,CHÚ Ý,ข้อควรระวัง,SEM_048,주의,注意,注意,PRECAUCIÓN,safety,true
TERM_049,危険,DANGER,GEFAHR,DANGER,PELIGRO,PERIGO,PERICOLO,NEBEZPEČÍ,NIEBEZPIECZEŃSTWO,TEHLİKE,NGUY HIỂM,อันตราย,SEM_049,위험,危险,危險,PELIGRO,safety,true
TERM_050,取付け,mounting,Montage,montage,montaje,montagem,montaggio,montáž,montaż,montaj,lắp đặt,การติดตั้ง,SEM_050,설치,安装,安裝,montaje,actions,true
TERM_051,分解,disassembly,Demontage,démontage,desmontaje,desmontagem,smontaggio,demontáž,demontaż,sökme,tháo rời,การถอดประกอบ,SEM_051,분해,拆卸,拆卸,desmontaje,actions,true
TERM_052,保守,maintenance,Wartung,maintenance,mantenimiento,manutenção,manutenzione,údržba,konserwacja,bakım,bảo trì,การบำรุงรักษา,SEM_052,보수,维护,維護,mantenimiento,actions,true
TERM_053,点検,inspection,Inspektion,inspection,inspección,inspeção,ispezione,kontrola,inspekcja,muayene,kiểm tra,การตรวจสอบ,SEM_053,점검,检查,檢查,inspección,actions,true
TERM_054,調整,adjustment,Einstellung,réglage,ajuste,ajuste,regolazione,nastavení,regulacja,ayarlama,điều chỉnh,การปรับ,SEM_054,조정,调整,調整,ajuste,actions,true
TERM_055,潤滑,lubrication,Schmierung,lubrification,lubricación,lubrificação,lubrificazione,mazání,smarowanie,yağlama,bôi trơn,การหล่อลื่น,SEM_055,윤활,润滑,潤滑,lubricación,actions,true
